,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Other debtors / guarantors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telepthone,Foreign worker,Sex,Personal status
493,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,368,unknown/ no savings account,.. >= 7 years,4,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,none,yes,male,single
494,... < 0 DM,12,critical account/  other credits existing (not at this bank),car (new),2122,... <  100 DM,1  <= ... < 4 years,3,none,2,real estate,39,none,rent,2,unskilled - resident,2,none,no,male,single
495,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,2996,unknown/ no savings account,1  <= ... < 4 years,2,none,4,"car or other, not in attribute 6",20,none,own,1,skilled employee / official,1,none,yes,male,married/widowed
496,0 <= ... < 200 DM,36,existing credits paid back duly till now,furniture/equipment,9034,100 <= ... <  500 DM,... < 1 year,4,co-applicant,1,unknown / no property,29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
497,no checking account,24,critical account/  other credits existing (not at this bank),furniture/equipment,1585,... <  100 DM,4  <= ... < 7 years,4,none,3,building society savings agreement/ life insurance,40,none,own,2,skilled employee / official,1,none,yes,male,single
498,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1301,... <  100 DM,.. >= 7 years,4,guarantor,2,real estate,32,none,own,1,unskilled - resident,1,none,yes,male,married/widowed
499,>= 200 DM,6,critical account/  other credits existing (not at this bank),car (new),1323,100 <= ... <  500 DM,.. >= 7 years,2,none,4,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,divorced/separated
500,... < 0 DM,24,existing credits paid back duly till now,car (new),3123,... <  100 DM,... < 1 year,4,none,1,building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
501,... < 0 DM,36,existing credits paid back duly till now,car (used),5493,... <  100 DM,.. >= 7 years,2,none,4,unknown / no property,42,none,for free,1,skilled employee / official,2,none,yes,male,single
502,>= 200 DM,9,existing credits paid back duly till now,radio/television,1126,100 <= ... <  500 DM,.. >= 7 years,2,none,4,real estate,49,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated
503,0 <= ... < 200 DM,24,critical account/  other credits existing (not at this bank),radio/television,1216,100 <= ... <  500 DM,... < 1 year,4,none,4,unknown / no property,38,bank,own,2,skilled employee / official,2,none,yes,male,single
504,... < 0 DM,24,existing credits paid back duly till now,car (new),1207,... <  100 DM,... < 1 year,4,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
505,no checking account,10,existing credits paid back duly till now,car (new),1309,unknown/ no savings account,1  <= ... < 4 years,4,guarantor,4,building society savings agreement/ life insurance,27,none,own,1,unskilled - resident,1,none,yes,male,single
506,>= 200 DM,15,critical account/  other credits existing (not at this bank),car (used),2360,500 <= ... < 1000 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
507,0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),6850,100 <= ... <  500 DM,unemployed,1,none,2,building society savings agreement/ life insurance,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single
508,no checking account,24,existing credits paid back duly till now,radio/television,1413,... <  100 DM,1  <= ... < 4 years,4,none,2,building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,yes,male,married/widowed
509,no checking account,39,existing credits paid back duly till now,car (used),8588,100 <= ... <  500 DM,.. >= 7 years,4,none,2,"car or other, not in attribute 6",45,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
510,... < 0 DM,12,existing credits paid back duly till now,car (new),759,... <  100 DM,4  <= ... < 7 years,4,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes,male,single
511,no checking account,36,existing credits paid back duly till now,car (used),4686,... <  100 DM,1  <= ... < 4 years,2,none,2,unknown / no property,32,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
512,>= 200 DM,15,existing credits paid back duly till now,business,2687,... <  100 DM,4  <= ... < 7 years,2,none,4,building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
513,0 <= ... < 200 DM,12,delay in paying off in the past,radio/television,585,... <  100 DM,1  <= ... < 4 years,4,co-applicant,4,real estate,20,none,rent,2,skilled employee / official,1,none,yes,male,married/widowed
514,no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/ no savings account,... < 1 year,4,none,1,building society savings agreement/ life insurance,54,none,own,1,skilled employee / official,1,none,yes,male,single
515,... < 0 DM,6,critical account/  other credits existing (not at this bank),car (new),609,... <  100 DM,4  <= ... < 7 years,4,none,3,building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,none,no,female,divorced/separated/married
516,... < 0 DM,6,critical account/  other credits existing (not at this bank),car (new),1361,... <  100 DM,... < 1 year,2,none,4,real estate,40,none,own,1,unskilled - resident,2,none,no,male,single
517,no checking account,36,critical account/  other credits existing (not at this bank),furniture/equipment,7127,... <  100 DM,... < 1 year,2,none,4,building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
518,... < 0 DM,6,existing credits paid back duly till now,car (new),1203,100 <= ... <  500 DM,.. >= 7 years,3,none,2,building society savings agreement/ life insurance,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
519,no checking account,6,critical account/  other credits existing (not at this bank),radio/television,700,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,36,none,for free,2,skilled employee / official,1,none,yes,male,single
520,no checking account,24,critical account/  other credits existing (not at this bank),repairs,5507,... <  100 DM,.. >= 7 years,3,none,4,unknown / no property,44,none,for free,2,skilled employee / official,1,none,yes,male,single
521,... < 0 DM,18,existing credits paid back duly till now,radio/television,3190,... <  100 DM,1  <= ... < 4 years,2,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
522,... < 0 DM,48,no credits taken/ all credits paid back duly,furniture/equipment,7119,... <  100 DM,1  <= ... < 4 years,3,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,male,single
523,no checking account,24,existing credits paid back duly till now,car (used),3488,100 <= ... <  500 DM,4  <= ... < 7 years,3,none,4,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
524,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1113,... <  100 DM,1  <= ... < 4 years,4,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,none,yes,female,divorced/separated/married
525,0 <= ... < 200 DM,26,existing credits paid back duly till now,car (used),7966,... <  100 DM,... < 1 year,2,none,3,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,none,yes,male,single
526,no checking account,15,critical account/  other credits existing (not at this bank),education,1532,100 <= ... <  500 DM,1  <= ... < 4 years,4,none,3,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
527,no checking account,4,critical account/  other credits existing (not at this bank),radio/television,1503,... <  100 DM,4  <= ... < 7 years,2,none,1,real estate,42,none,own,2,unskilled - resident,2,none,yes,male,single
528,... < 0 DM,36,existing credits paid back duly till now,radio/television,2302,... <  100 DM,1  <= ... < 4 years,4,none,4,"car or other, not in attribute 6",31,none,rent,1,skilled employee / official,1,none,yes,male,divorced/separated
529,... < 0 DM,6,existing credits paid back duly till now,car (new),662,... <  100 DM,... < 1 year,3,none,4,real estate,41,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,male,single
530,0 <= ... < 200 DM,36,existing credits paid back duly till now,education,2273,... <  100 DM,4  <= ... < 7 years,3,none,1,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,2,none,yes,male,single
531,0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),2631,100 <= ... <  500 DM,1  <= ... < 4 years,2,none,4,"car or other, not in attribute 6",28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
532,no checking account,12,delay in paying off in the past,car (used),1503,... <  100 DM,1  <= ... < 4 years,4,none,4,real estate,41,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed
533,no checking account,24,existing credits paid back duly till now,radio/television,1311,100 <= ... <  500 DM,4  <= ... < 7 years,4,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed
534,no checking account,24,existing credits paid back duly till now,radio/television,3105,unknown/ no savings account,... < 1 year,4,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes,male,single
535,>= 200 DM,21,critical account/  other credits existing (not at this bank),education,2319,... <  100 DM,... < 1 year,2,none,1,"car or other, not in attribute 6",33,none,rent,1,skilled employee / official,1,none,yes,male,divorced/separated
536,... < 0 DM,6,existing credits paid back duly till now,car (new),1374,unknown/ no savings account,unemployed,4,none,3,building society savings agreement/ life insurance,75,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
537,0 <= ... < 200 DM,18,critical account/  other credits existing (not at this bank),furniture/equipment,3612,... <  100 DM,.. >= 7 years,3,none,4,building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
538,... < 0 DM,48,existing credits paid back duly till now,car (new),7763,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,42,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single
539,>= 200 DM,18,existing credits paid back duly till now,furniture/equipment,3049,... <  100 DM,... < 1 year,1,none,1,building society savings agreement/ life insurance,45,stores,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married
540,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1534,... <  100 DM,... < 1 year,1,none,1,real estate,23,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed
541,no checking account,24,delay in paying off in the past,car (new),2032,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
542,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/ no savings account,.. >= 7 years,4,none,4,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,none,yes,male,single
543,>= 200 DM,18,existing credits paid back duly till now,furniture/equipment,2864,... <  100 DM,1  <= ... < 4 years,2,none,1,real estate,34,none,own,1,unskilled - resident,2,none,yes,male,single
544,no checking account,12,critical account/  other credits existing (not at this bank),car (new),1255,... <  100 DM,.. >= 7 years,4,none,4,real estate,61,none,own,2,unskilled - resident,1,none,yes,male,single
545,... < 0 DM,24,delay in paying off in the past,car (new),1333,... <  100 DM,unemployed,4,none,2,real estate,43,none,for free,2,skilled employee / official,2,none,yes,male,single
546,no checking account,24,critical account/  other credits existing (not at this bank),car (new),2022,... <  100 DM,1  <= ... < 4 years,4,none,4,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
547,no checking account,24,existing credits paid back duly till now,radio/television,1552,... <  100 DM,4  <= ... < 7 years,3,none,1,"car or other, not in attribute 6",32,bank,own,1,skilled employee / official,2,none,yes,male,single
548,... < 0 DM,12,all credits at this bank paid back duly,radio/television,626,... <  100 DM,1  <= ... < 4 years,4,none,4,real estate,24,bank,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married
549,no checking account,48,critical account/  other credits existing (not at this bank),car (used),8858,unknown/ no savings account,4  <= ... < 7 years,2,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
550,no checking account,12,critical account/  other credits existing (not at this bank),repairs,996,unknown/ no savings account,4  <= ... < 7 years,4,none,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
551,no checking account,6,all credits at this bank paid back duly,radio/television,1750,500 <= ... < 1000 DM,.. >= 7 years,2,none,4,building society savings agreement/ life insurance,45,bank,own,1,unskilled - resident,2,none,yes,male,single
552,... < 0 DM,48,existing credits paid back duly till now,radio/television,6999,... <  100 DM,4  <= ... < 7 years,1,guarantor,1,real estate,34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed
553,0 <= ... < 200 DM,12,critical account/  other credits existing (not at this bank),car (new),1995,100 <= ... <  500 DM,... < 1 year,4,none,1,"car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes,male,single
554,0 <= ... < 200 DM,9,existing credits paid back duly till now,education,1199,... <  100 DM,4  <= ... < 7 years,4,none,4,building society savings agreement/ life insurance,67,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
555,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1331,... <  100 DM,... < 1 year,2,none,1,"car or other, not in attribute 6",22,stores,own,1,skilled employee / official,1,none,yes,male,single
556,0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,100 <= ... <  500 DM,... < 1 year,3,none,3,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
557,no checking account,21,no credits taken/ all credits paid back duly,car (new),5003,unknown/ no savings account,1  <= ... < 4 years,1,none,4,building society savings agreement/ life insurance,29,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
558,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,... <  100 DM,4  <= ... < 7 years,3,none,4,"car or other, not in attribute 6",27,bank,own,1,skilled employee / official,1,none,yes,male,single
559,0 <= ... < 200 DM,18,critical account/  other credits existing (not at this bank),furniture/equipment,1928,... <  100 DM,... < 1 year,2,none,2,real estate,31,none,own,2,unskilled - resident,1,none,yes,male,single
560,... < 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,49,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
561,... < 0 DM,24,all credits at this bank paid back duly,radio/television,1546,... <  100 DM,4  <= ... < 7 years,4,guarantor,4,"car or other, not in attribute 6",24,bank,rent,1,unskilled - resident,1,none,yes,male,single
562,>= 200 DM,6,delay in paying off in the past,radio/television,683,... <  100 DM,... < 1 year,2,none,1,building society savings agreement/ life insurance,29,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
563,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/ no savings account,1  <= ... < 4 years,1,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
564,0 <= ... < 200 DM,24,delay in paying off in the past,business,4712,unknown/ no savings account,1  <= ... < 4 years,4,none,2,building society savings agreement/ life insurance,37,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
565,0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,1553,100 <= ... <  500 DM,4  <= ... < 7 years,3,none,2,building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
566,... < 0 DM,12,existing credits paid back duly till now,car (new),1372,... <  100 DM,4  <= ... < 7 years,2,none,3,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated
567,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,2578,.. >= 1000 DM,.. >= 7 years,2,none,2,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes,male,single
568,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,3979,unknown/ no savings account,4  <= ... < 7 years,4,none,1,"car or other, not in attribute 6",41,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
569,... < 0 DM,48,existing credits paid back duly till now,radio/television,6758,... <  100 DM,1  <= ... < 4 years,3,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
570,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,... <  100 DM,... < 1 year,4,none,4,real estate,23,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married
571,no checking account,30,critical account/  other credits existing (not at this bank),radio/television,5954,... <  100 DM,4  <= ... < 7 years,3,co-applicant,2,"car or other, not in attribute 6",38,none,own,1,skilled employee / official,1,none,yes,male,single
572,no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/ no savings account,unemployed,2,none,4,building society savings agreement/ life insurance,26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
573,... < 0 DM,15,existing credits paid back duly till now,business,806,... <  100 DM,1  <= ... < 4 years,4,none,4,building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married
574,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1082,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes,male,single
575,no checking account,15,critical account/  other credits existing (not at this bank),furniture/equipment,2788,... <  100 DM,4  <= ... < 7 years,2,co-applicant,3,"car or other, not in attribute 6",24,bank,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
576,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,2930,... <  100 DM,4  <= ... < 7 years,2,none,1,real estate,27,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
577,no checking account,24,critical account/  other credits existing (not at this bank),education,1927,unknown/ no savings account,1  <= ... < 4 years,3,none,2,"car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
578,0 <= ... < 200 DM,36,critical account/  other credits existing (not at this bank),car (new),2820,... <  100 DM,... < 1 year,4,none,4,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated
579,no checking account,24,existing credits paid back duly till now,retraining,937,... <  100 DM,... < 1 year,4,none,3,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes,male,married/widowed
580,0 <= ... < 200 DM,18,critical account/  other credits existing (not at this bank),car (new),1056,... <  100 DM,.. >= 7 years,3,guarantor,3,real estate,30,bank,own,2,skilled employee / official,1,none,yes,male,single
581,0 <= ... < 200 DM,12,critical account/  other credits existing (not at this bank),car (new),3124,... <  100 DM,... < 1 year,1,none,3,real estate,49,bank,own,2,unskilled - resident,2,none,yes,male,single
582,no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,... <  100 DM,1  <= ... < 4 years,4,none,2,real estate,26,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
583,0 <= ... < 200 DM,36,existing credits paid back duly till now,repairs,2384,... <  100 DM,... < 1 year,4,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1,none,yes,male,single
584,no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,52,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
585,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,... <  100 DM,1  <= ... < 4 years,1,none,4,real estate,20,bank,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
586,... < 0 DM,9,critical account/  other credits existing (not at this bank),car (new),2799,... <  100 DM,1  <= ... < 4 years,2,none,2,real estate,36,none,rent,2,skilled employee / official,2,none,yes,male,single
587,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,... <  100 DM,1  <= ... < 4 years,4,guarantor,1,building society savings agreement/ life insurance,21,none,own,1,unskilled - resident,1,none,yes,male,single
588,... < 0 DM,18,existing credits paid back duly till now,domestic appliances,1217,... <  100 DM,1  <= ... < 4 years,4,none,3,real estate,47,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,married/widowed
589,... < 0 DM,12,critical account/  other credits existing (not at this bank),furniture/equipment,2246,... <  100 DM,.. >= 7 years,3,none,3,building society savings agreement/ life insurance,60,none,own,2,skilled employee / official,1,none,yes,male,single
590,... < 0 DM,12,critical account/  other credits existing (not at this bank),radio/television,385,... <  100 DM,4  <= ... < 7 years,4,none,3,real estate,58,none,own,4,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married
591,0 <= ... < 200 DM,24,delay in paying off in the past,car (new),1965,unknown/ no savings account,1  <= ... < 4 years,4,none,4,"car or other, not in attribute 6",42,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
592,no checking account,21,existing credits paid back duly till now,business,1572,.. >= 1000 DM,.. >= 7 years,4,none,4,real estate,36,bank,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married
593,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),2718,... <  100 DM,1  <= ... < 4 years,3,none,4,building society savings agreement/ life insurance,20,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married
594,... < 0 DM,24,all credits at this bank paid back duly,others,1358,unknown/ no savings account,.. >= 7 years,4,none,3,"car or other, not in attribute 6",40,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
595,0 <= ... < 200 DM,6,all credits at this bank paid back duly,car (new),931,100 <= ... <  500 DM,... < 1 year,1,none,1,building society savings agreement/ life insurance,32,stores,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married
596,... < 0 DM,24,existing credits paid back duly till now,car (new),1442,... <  100 DM,4  <= ... < 7 years,4,none,4,"car or other, not in attribute 6",23,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated/married
597,0 <= ... < 200 DM,24,no credits taken/ all credits paid back duly,business,4241,... <  100 DM,1  <= ... < 4 years,1,none,4,real estate,36,none,own,3,unskilled - resident,1,"yes, registered under the customers name",yes,male,single
598,no checking account,18,critical account/  other credits existing (not at this bank),car (new),2775,... <  100 DM,4  <= ... < 7 years,2,none,2,building society savings agreement/ life insurance,31,bank,own,2,skilled employee / official,1,none,yes,male,single
599,no checking account,24,delay in paying off in the past,business,3863,... <  100 DM,1  <= ... < 4 years,1,none,2,unknown / no property,32,none,for free,1,skilled employee / official,1,none,yes,male,single
600,0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2329,... <  100 DM,... < 1 year,1,guarantor,1,real estate,45,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
601,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,918,... <  100 DM,1  <= ... < 4 years,4,none,1,building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
602,0 <= ... < 200 DM,24,all credits at this bank paid back duly,education,1837,... <  100 DM,4  <= ... < 7 years,4,none,4,unknown / no property,34,bank,for free,1,unskilled - resident,1,none,yes,female,divorced/separated/married
603,no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,... <  100 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",28,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
604,>= 200 DM,10,existing credits paid back duly till now,furniture/equipment,1275,... <  100 DM,... < 1 year,4,none,2,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
605,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,2828,500 <= ... < 1000 DM,1  <= ... < 4 years,4,none,4,real estate,22,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
606,no checking account,24,critical account/  other credits existing (not at this bank),business,4526,... <  100 DM,1  <= ... < 4 years,3,none,2,real estate,74,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
607,0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,2671,100 <= ... <  500 DM,1  <= ... < 4 years,4,co-applicant,4,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes,female,divorced/separated/married
608,no checking account,18,existing credits paid back duly till now,radio/television,2051,... <  100 DM,... < 1 year,4,none,1,real estate,33,none,own,1,skilled employee / official,1,none,yes,male,single
609,no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,45,bank,for free,1,skilled employee / official,2,none,yes,male,single
610,... < 0 DM,12,existing credits paid back duly till now,domestic appliances,741,100 <= ... <  500 DM,unemployed,4,none,3,building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
611,>= 200 DM,10,existing credits paid back duly till now,car (new),1240,100 <= ... <  500 DM,.. >= 7 years,1,none,4,unknown / no property,48,none,for free,1,unskilled - resident,2,none,yes,female,divorced/separated/married
612,... < 0 DM,21,existing credits paid back duly till now,radio/television,3357,.. >= 1000 DM,... < 1 year,4,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
613,... < 0 DM,24,all credits at this bank paid back duly,car (used),3632,... <  100 DM,1  <= ... < 4 years,1,guarantor,4,"car or other, not in attribute 6",22,bank,rent,1,skilled employee / official,1,none,no,female,divorced/separated/married
614,no checking account,18,delay in paying off in the past,furniture/equipment,1808,... <  100 DM,4  <= ... < 7 years,4,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
615,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,12204,unknown/ no savings account,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",48,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
616,0 <= ... < 200 DM,60,delay in paying off in the past,radio/television,9157,unknown/ no savings account,1  <= ... < 4 years,2,none,2,unknown / no property,27,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single
617,... < 0 DM,6,critical account/  other credits existing (not at this bank),car (new),3676,... <  100 DM,1  <= ... < 4 years,1,none,3,real estate,37,none,rent,3,skilled employee / official,2,none,yes,male,single
618,0 <= ... < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,100 <= ... <  500 DM,1  <= ... < 4 years,2,co-applicant,4,"car or other, not in attribute 6",21,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
619,no checking account,12,existing credits paid back duly till now,car (new),640,... <  100 DM,1  <= ... < 4 years,4,none,2,real estate,49,none,own,1,unskilled - resident,1,none,yes,male,divorced/separated
620,0 <= ... < 200 DM,21,critical account/  other credits existing (not at this bank),business,3652,... <  100 DM,4  <= ... < 7 years,2,none,3,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes,male,single
621,no checking account,18,critical account/  other credits existing (not at this bank),car (new),1530,... <  100 DM,1  <= ... < 4 years,3,none,2,building society savings agreement/ life insurance,32,bank,own,2,skilled employee / official,1,none,yes,male,single
622,no checking account,48,existing credits paid back duly till now,business,3914,unknown/ no savings account,1  <= ... < 4 years,4,none,2,real estate,38,bank,own,1,skilled employee / official,1,none,yes,male,divorced/separated
623,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1858,... <  100 DM,... < 1 year,4,none,1,"car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
624,... < 0 DM,18,existing credits paid back duly till now,radio/television,2600,... <  100 DM,1  <= ... < 4 years,4,none,4,unknown / no property,65,none,for free,2,skilled employee / official,1,none,yes,male,single
